Wavelength	Mean	Std+	Std-	FWHM
773	0.534002775	0.573646275	0.494359275	0.006
774	0.5344223	0.574087596	0.494757004	0.006
775	0.5348053	0.574473813	0.495136787	0.006
776	0.5351677	0.574834207	0.495501193	0.006
777	0.535515675	0.575182977	0.495848373	0.006
778	0.535891675	0.575564103	0.496219247	0.006
779	0.536260575	0.575941587	0.496579563	0.006
780	0.536614925	0.576307575	0.496922275	0.006
781	0.536967875	0.576656891	0.497278859	0.006
782	0.537337475	0.577032726	0.497642224	0.006
783	0.537715875	0.577422652	0.498009098	0.006
784	0.538065025	0.577773631	0.498356419	0.006
785	0.538421025	0.578122254	0.498719796	0.006
786	0.5387623	0.578448937	0.499075663	0.006
787	0.5390601	0.578722997	0.499397203	0.006
788	0.539357825	0.57900855	0.4997071	0.006
789	0.53965705	0.57931159	0.50000251	0.006
790	0.539958175	0.579635645	0.500280705	0.006
791	0.5402755	0.579955651	0.500595349	0.006
792	0.5406211	0.580314607	0.500927593	0.006
793	0.540976225	0.580688869	0.501263581	0.006
794	0.54125435	0.580969442	0.501539258	0.006
795	0.54155165	0.581260545	0.501842755	0.006
796	0.541855325	0.581558562	0.502152088	0.006
797	0.542155575	0.581863987	0.502447163	0.006
798	0.5424495	0.582162393	0.502736607	0.006
799	0.542755	0.582465936	0.503044064	0.006
800	0.543074175	0.582774364	0.503373986	0.006
801	0.543370525	0.583065164	0.503675886	0.006
802	0.543688225	0.583379827	0.503996623	0.006
803	0.544022875	0.583715562	0.504330188	0.006
804	0.54434155	0.584051988	0.504631112	0.006
805	0.544596775	0.584321546	0.504872004	0.006
806	0.54482785	0.58455475	0.50510095	0.006
807	0.545073775	0.584771839	0.505375711	0.006
808	0.54533385	0.585021608	0.505646092	0.006
809	0.54559795	0.58527435	0.50592155	0.006
810	0.5458607	0.585518604	0.506202796	0.006
811	0.545992225	0.585602992	0.506381458	0.006
812	0.546106675	0.585670007	0.506543343	0.006
813	0.54622185	0.585737668	0.506706032	0.006
814	0.546423375	0.585892901	0.506953849	0.006
815	0.5466322	0.586096747	0.507167653	0.006
816	0.54686615	0.586347636	0.507384664	0.006
817	0.547164025	0.586665969	0.507662081	0.006
818	0.54749605	0.587040198	0.507951902	0.006
819	0.54779015	0.587374818	0.508205482	0.006
820	0.54801205	0.587625803	0.508398297	0.006
821	0.54800995	0.587509251	0.508510649	0.006
822	0.54822065	0.587698371	0.508742929	0.006
823	0.5486277	0.588179975	0.509075425	0.006
824	0.548933475	0.588540483	0.509326467	0.006
825	0.549126275	0.588722895	0.509529655	0.006
826	0.54927355	0.588827084	0.509720016	0.006
827	0.549442825	0.588954163	0.509931487	0.006
828	0.549663475	0.589189219	0.510137731	0.006
829	0.54990715	0.589456067	0.510358233	0.006
830	0.550167975	0.589729437	0.510606513	0.006
831	0.550363	0.58992844	0.51079756	0.006
832	0.550580175	0.590161718	0.510998632	0.006
833	0.55082335	0.590433	0.5112137	0.006
834	0.5510641	0.590689487	0.511438713	0.006
835	0.551256575	0.590902404	0.511610746	0.006
836	0.5514205	0.591082534	0.511758466	0.006
837	0.551575775	0.591227662	0.511923888	0.006
838	0.551729975	0.59139238	0.51206757	0.006
839	0.5518822	0.591549614	0.512214786	0.006
840	0.5520309	0.591681117	0.512380683	0.006
841	0.55223165	0.59188413	0.51257917	0.006
842	0.552403425	0.592066005	0.512740845	0.006
843	0.55254415	0.592222676	0.512865624	0.006
844	0.552780525	0.592458162	0.513102888	0.006
845	0.55294845	0.592614492	0.513282408	0.006
846	0.553083075	0.592736244	0.513429906	0.006
847	0.5532564	0.592919678	0.513593122	0.006
848	0.5533605	0.592997716	0.513723284	0.006
849	0.5534852	0.593103561	0.513866839	0.006
850	0.553695875	0.593336769	0.514054981	0.006
851	0.553886375	0.593541361	0.514231389	0.006
852	0.553994425	0.593624074	0.514364776	0.006
853	0.554020425	0.593582735	0.514458115	0.006
854	0.554323925	0.593945759	0.514702091	0.006
855	0.554579875	0.594263392	0.514896358	0.006
856	0.55476645	0.594493219	0.515039681	0.006
857	0.5548156	0.594501401	0.515129799	0.006
858	0.55492705	0.594600371	0.515253729	0.006
859	0.555086225	0.594755596	0.515416854	0.006
860	0.5553011	0.594963306	0.515638894	0.006
861	0.555469025	0.595134808	0.515803242	0.006
862	0.555618525	0.595289676	0.515947374	0.006
863	0.555752575	0.595429485	0.516075665	0.006
864	0.5558256	0.595481156	0.516170044	0.006
865	0.555953575	0.59558481	0.51632234	0.006
866	0.55615605	0.595775029	0.516537071	0.006
867	0.55652765	0.596211295	0.516844005	0.006
868	0.5566829	0.596392196	0.516973604	0.006
869	0.5567892	0.596499265	0.517079135	0.006
870	0.556974675	0.596660271	0.517289079	0.006
871	0.557111125	0.596798553	0.517423697	0.006
872	0.5572644	0.596949599	0.517579201	0.006
873	0.5574516	0.597123476	0.517779724	0.006
874	0.55765395	0.597332272	0.517975628	0.006
875	0.557791225	0.597484468	0.518097982	0.006
876	0.557903475	0.597616763	0.518190187	0.006
877	0.55817525	0.597899505	0.518450995	0.006
878	0.558329925	0.59804779	0.51861206	0.006
879	0.558467925	0.598174641	0.518761209	0.006
880	0.558687625	0.598389468	0.518985782	0.006
881	0.55891055	0.598622111	0.519198989	0.006
882	0.559136425	0.598864286	0.519408564	0.006
883	0.559365025	0.599114959	0.519615091	0.006
884	0.559609475	0.59936446	0.51985449	0.006
885	0.55980515	0.59955957	0.52005073	0.006
886	0.559960125	0.599709453	0.520210797	0.006
887	0.56011585	0.599858946	0.520372754	0.006
888	0.560328	0.600069766	0.520586234	0.006
889	0.560569025	0.600316481	0.520821569	0.006
890	0.56081855	0.60058677	0.52105033	0.006
891	0.5609845	0.600749309	0.521219691	0.006
892	0.561147875	0.600895752	0.521399998	0.006
893	0.5613344	0.601052095	0.521616705	0.006
894	0.5614544	0.60113141	0.52177739	0.006
895	0.5615644	0.601192471	0.521936329	0.006
896	0.56168075	0.601255572	0.522105928	0.006
897	0.56191925	0.601475652	0.522362848	0.006
898	0.562101075	0.601652906	0.522549244	0.006
899	0.562297025	0.601852916	0.522741134	0.006
900	0.5626308	0.602195195	0.523066405	0.006
901	0.562993325	0.602599576	0.523387074	0.006
902	0.563323575	0.602980473	0.523666677	0.006
903	0.563591675	0.603300759	0.523882591	0.006
904	0.563926175	0.603705177	0.524147173	0.006
905	0.5641426	0.603929611	0.524355589	0.006
906	0.5642431	0.603978551	0.524507649	0.006
907	0.564286575	0.603967157	0.524605993	0.006
908	0.5644066	0.604053899	0.524759301	0.006
909	0.5646176	0.604253919	0.524981281	0.006
910	0.5649945	0.604657894	0.525331106	0.006
911	0.565304575	0.604981141	0.525628009	0.006
912	0.56556165	0.605248892	0.525874408	0.006
913	0.5657546	0.605455062	0.526054138	0.006
914	0.5659185	0.60559666	0.52624034	0.006
915	0.5660986	0.605772153	0.526425047	0.006
916	0.56630975	0.606001331	0.526618169	0.006
917	0.56669195	0.606419774	0.526964126	0.006
918	0.56703935	0.606836999	0.527241701	0.006
919	0.56737525	0.607253387	0.527497113	0.006
920	0.56774285	0.607667825	0.527817875	0.006
921	0.567951075	0.607885095	0.528017055	0.006
922	0.568140475	0.608078722	0.528202228	0.006
923	0.568387625	0.60834234	0.52843291	0.006
924	0.568684225	0.608631862	0.528736588	0.006
925	0.568939525	0.608880748	0.528998302	0.006
926	0.569137925	0.609075346	0.529200504	0.006
927	0.56922845	0.609137246	0.529319654	0.006
928	0.5692935	0.609152083	0.529434917	0.006
