ISO,ID,HORI,TOP,BOT,SAMPLENO,SIO2,AL2O3,FE2O3,CAO,MGO,K2O,NA2O,TIO2,MNO2,P2O5,IGN,TOTAL,RATIOSIAL,RATIOSIFE,RATIOSIR,RATIOALFE,SOELREM,EDITDATE,VERIFIED
"TH",4,3,115,125,"670118",4.9599999999999994e+01,2.8799999999999997e+01,8.6999999999999993e+00,9.9999999999999992e-02,1.2000000000000000e+00,2.5999999999999996e+00,,8.9999999999999991e-01,9.9999999999999992e-02,1.9999999999999998e-01,9.0999999999999996e+00,1.0119999999999999e+02,2.8999999999999999e+00,1.5199999999999999e+01,2.3999999999999999e+00,5.1999999999999993e+00,,"07/19/96 00:00:00","OSP"
"TR",8,1,0,3,"730030",5.1399999999999999e+01,1.8699999999999999e+01,8.5000000000000000e+00,1.7000000000000000e+00,4.2999999999999998e+00,3.2999999999999998e+00,,7.9999999999999993e-01,9.9999999999999992e-02,2.9999999999999999e-01,1.0199999999999999e+01,9.9299999999999997e+01,4.6999999999999993e+00,1.6000000000000000e+01,3.5999999999999996e+00,3.3999999999999999e+00,,"07/23/96 00:00:00","OSP"
"TR",8,2,3,33,"730031",4.9099999999999994e+01,1.7299999999999997e+01,7.8999999999999995e+00,4.2999999999999998e+00,4.5999999999999996e+00,3.0000000000000000e+00,,6.9999999999999996e-01,9.9999999999999992e-02,2.9999999999999999e-01,1.2399999999999999e+01,9.9699999999999989e+01,4.7999999999999998e+00,1.6699999999999999e+01,3.6999999999999997e+00,3.5000000000000000e+00,,"07/23/96 00:00:00","OSP"
"TR",8,3,33,55,"730032",4.3599999999999994e+01,1.5199999999999999e+01,7.1999999999999993e+00,9.8999999999999986e+00,4.6999999999999993e+00,2.1999999999999997e+00,,6.9999999999999996e-01,9.9999999999999992e-02,1.9999999999999998e-01,1.6299999999999997e+01,1.0009999999999999e+02,4.8999999999999995e+00,1.6199999999999999e+01,3.7999999999999998e+00,3.2999999999999998e+00,,"07/23/96 00:00:00","OSP"
"TR",8,4,55,83,"730033",4.2199999999999996e+01,1.5399999999999999e+01,7.1999999999999993e+00,1.1199999999999999e+01,4.3999999999999995e+00,2.0999999999999996e+00,,5.9999999999999998e-01,9.9999999999999992e-02,1.9999999999999998e-01,1.6399999999999999e+01,9.9799999999999997e+01,4.6999999999999993e+00,1.5500000000000000e+01,3.5999999999999996e+00,3.2999999999999998e+00,,"07/23/96 00:00:00","OSP"
"TR",8,5,83,110,"730034",4.2699999999999996e+01,1.5500000000000000e+01,7.1999999999999993e+00,1.0899999999999999e+01,4.5999999999999996e+00,2.0000000000000000e+00,,5.9999999999999998e-01,0.0000000000000000e+00,9.9999999999999992e-02,1.6399999999999999e+01,1.0000000000000000e+02,4.6999999999999993e+00,1.5699999999999999e+01,3.5999999999999996e+00,3.3999999999999999e+00,,"07/23/96 00:00:00","OSP"
"IE",9,1,0,7,"670084",,,,,,,,,,,,,,,,,,"08/16/96 00:00:00","OSP"
"IE",9,2,7,40,"670085",5.1599999999999994e+01,2.5299999999999997e+01,4.2999999999999998e+00,5.9999999999999998e-02,1.6499999999999999e+00,6.3699999999999992e+00,1.6999999999999998e-01,2.1199999999999997e+00,0.0000000000000000e+00,2.6999999999999996e-01,8.2999999999999989e+00,1.0019999999999999e+02,3.5000000000000000e+00,3.1899999999999999e+01,3.0999999999999996e+00,9.1999999999999993e+00,,"08/16/96 00:00:00","OSP"
"IE",9,3,40,49,"670086",4.7799999999999997e+01,2.5399999999999999e+01,4.8999999999999995e+00,9.9999999999999985e-03,2.0899999999999999e+00,5.4600000000000000e+00,2.7999999999999997e-01,1.8199999999999998e+00,0.0000000000000000e+00,2.8999999999999998e-01,1.0399999999999999e+01,9.8399999999999991e+01,3.1999999999999997e+00,2.5799999999999997e+01,2.7999999999999998e+00,8.0999999999999996e+00,,"08/16/96 00:00:00","OSP"
"IE",9,4,49,62,"670087",3.5899999999999999e+01,1.8699999999999999e+01,2.6299999999999997e+01,3.9999999999999994e-02,1.6899999999999999e+00,3.8199999999999998e+00,2.7999999999999997e-01,1.2000000000000000e+00,1.6999999999999998e-01,8.1999999999999995e-01,1.0299999999999999e+01,9.9199999999999989e+01,3.2999999999999998e+00,3.5999999999999996e+00,1.7000000000000000e+00,1.0999999999999999e+00,,"08/16/96 00:00:00","OSP"
