ISO,ID,WRB_RG,WRB_Q1,WRB_Q2,WRB_Q3,WRB_Q4,FAO_88,FSUB_88,PHA_88,FAOSTAT_88,FAO_74,PHA_74,FAOSTAT,USGG_99,USSG_99,USTX_92,USMIN_92,STR_92,OTH_92,SMR_92,USGG_75,USSG_75,USTX,USMIN,STR,OTH,SMR,LOCAL,REMARKS,EDITDATE,VER,,,,,
CA,16,CM,ca,,,,CMc,,,1,Bk,,1,,,,,,,,ioc,AA,80,35,FR,,UD,Orthic Eutric Brunisol,,05/19/03 12:00 AM,OSP,,,,,
CA,17,FL,hu,ca,,,FLc,,,1,Jc,,1,,,,,,,,evd,MO,68,35,FR,,UD,La Salle Series, Cumulic Regosol,,05/20/03 12:00 AM,OSP,,,,
CA,18,LV,st,fg,cr,ct,LVj,ch,FR,1,Lg,X,0,,,,,,,,aqf,AA,80,34,FR,,AQ,Kentville sandy loam, Fragic Luvic Gleysol,,05/21/03 12:00 AM,OSP,,,,
CA,20,GL,tio,hu,au,eue,GLt,hu,,1,Gh,,1,,,,,,,,iqh,SU,88,34,ME,acid,AQ,Orthic Humic Gleysol,,05/21/03 12:00 AM,OSP,,,,,
CA,21,GL,eu,,,,GLe,,,1,Ge,,1,,,,,,,,iqa,AA,88,34,FR,nonacid,AQ,Piperville Series, Fera Humic Gleysol,,05/22/03 12:00 AM,OSP,,,,
CA,22,PL,gl,cc,ab,eu,PLe,cc,,1,We,,1,,,,,,,,aqw,AB,114,34,FR,,AQ,Humic Luvic Gleysol, fine-loamy, mixed, moderately to strongly calcareous, cool, subhumid family,,05/22/03 12:00 AM,
CA,23,AR,eu,,,,ARb,,,1,Qc,,1,,,,,,,,esu,AA,,34,ME,,US,Eluviated Eutric Brunisol, sandy, mixed, neutral, mild semiarid family,,05/22/03 12:00 AM,OSP,
CA,24,PZ,gln,rs,,,PZg,fe,,1,Pg,,1,,,,,,,,soc,AA,80,34,FR,,UD,Orthic Ferro-Humic Podzol,,05/14/03 12:00 AM,OSP,,,,,
CI,1,,,,,,ACF,,,0,Af,ST,1,hcc,ty,,,,,,udt,OR02,56,40,IH,,UD,Sol ferrallitique, see remarks,Extremely deep, somewhat excessively drained, red, very gravelly ì,,,
CI,2,,,,,,ACF,,,0,Af,ST,1,hcc,ty,,,,,,udt,OR02,56,40,IH,,UD,Sol ferrallitique, see remarks,A well drained extremely deep red, strongly gravelly clay soil ì,,,,,
CI,3,,,,,,ACP,fe,,0,Ap,ST,1,hcc,pt,,,,,,udl,,56,40,IH,,UD,Sol ferrallitique, see remarks,A very deep (125-180 cm), well drained, yellowish brown, very ì,,,
CI,4,,,,,,ACF,fe,,0,Fx,PE,1,jee,ad,,,,,,ooa,UL,114,40,IH,,UD,Sol ferrallitique, see remarks,Deep, moderately well drained, yellowish brown clay, with a thin ì,,,
CI,5,,,,,,FLE,,,0,Ge,,1,,,,,,,,iqt,AA,80,28,IH,,AQ,Sol hydromorphe,A poorly drained, deep soil (80-125 cm) with a porous massive ì,,,,,,
CI,6,,,,,,ACF,au,,0,Af,,1,hcc,ty,,,,,,udt,OR02,114,40,IH,,UD,Sol ferrallitique, see remarks,A gravelly, very deep soil (125-180 cm), derived from gneiss rich ì,,,,
CI,7,,,,,,ACP,ve,SK,0,Ap,ST,1,hcc,ad02,,,,,,udl,,114,40,IH,,UD,Sol ferrallitique, see remarks,A very deep (125-180 cm), moderately well drained, strong brown ì,,,,
CM,1,NT,fl,dy,,,NTh,dy,,1,Nd,,1,hcc,ty,,,,,,udb,AA,114,28,IH,,UD,,,,,,,,,
CN,1,LV,cr,ct,ha,,LVX,si,,0,Lc,,1,jej,ty,,,,,,ada,AA,106,34,TH,,UD,Argillic yellow brown soil; Hapli-Udic Argosol,LOCAL CLASSIFICATION: Chinese Soil Taxonomic Classification System (CSTC), translation of the original Chinese version published in 1991.,07/02/04 12:00 AM,OSP,,,,
CN,2,CM,st,ca,,,CMC,gl,IN,0,Bg,PH,1,,,,,,,,ioe,AA,106,34,TH,,AQ,Haplic yellow brown soil; Ochri-Aquic Cambosol,FAO (1988): Gleyi-Calcaric Cambisol (Siltic), anthraquic phase,07/02/04 12:00 AM,OSP,,,,
CN,3,AT,hg,lv,,,LVJ,fl,AN,0,Lg,PH,0,jej,aq,,,,,,ada,AQ06,126,34,TH,,AQ,Recalcaric paddy soil; Gleyi-Stagnic Anthrosol,,07/02/04 12:00 AM,OSP,,,,,
CN,4,CM,flh,cr,dyh,,CMO,au,,0,Bf,,1,,,,,,,,ioy,AA,126,34,TH,,UD,Haplic latored soil; Hapli-Udic Ferralosol,FAO (1988): Alumi-Ferralic Cambisol (Siltic and Chromic),07/02/04 12:00 AM,OSP,,,,,
CN,5,CM,len,ca,cr,,CMC,si,,0,Bc,,1,,,,,,,,ioe,AA,126,34,TH,,UD,Calcaric purple soil; Purpli-Udic Cambosol,FAO (1988): Silti-Calcaric Cambisol (Chromic),07/02/04 12:00 AM,OSP,,,,,
CN,6,LV,pf,cr,ct,ha,LVV,ch,RU,0,Ne,ST,1,jeg,vr,,,,,,adb,VE02,134,34,TH,,UD,Haplic brown limestone soil; Ferri-Udic Argosol,,07/02/04 12:00 AM,OSP,,,,,
CN,7,FR,vt,au,,,CMO,al,,0,Fo,,1,eec,in,,,,,,ooe,TR02,126,28,TH,,UD,Eutrophic latored soil; Hapli-Udic Ferralosol,FAO (1988): Alumi-Ferralic Cambisol (Chromic). Soil becomes ì,,,,,,,
CN,8,CM,flh,cr,dyh,,CMO,au,,0,Bf,,1,,,,,,,,ioy,AA,96,34,TH,,UD,Haplic latored-yellow soil; Acidi-Undic Cambosol,FAO (1988): Alumi-Ferralic Cambisol (Xanthic),07/02/04 12:00 AM,OSP,,,,,
CN,9,AT,tr,,,,ATC,si,,0,Rc,,1,kbb,,,,,,,ig,,106,34,ME,,AR,Haplic Lou soil; Earth-cumuli-Orthic Anthrosol,FAO (1988): Silti-Cumulic Anthrosol (Calcaric),07/02/04 12:00 AM,OSP,,,,,
CN,10,CM,ad,so,gp,ca,CMC,so,,0,Xh,SO,1,,,,,,,,dom,NA06,88,35,FR,,AR,Haplic grey desert soil; Hapli-Ustic Cambosol,FAO (1988): Sodi-Calcaric Cambisol (Siltic),07/02/04 12:00 AM,OSP,,,,,
CN,11,AT,ir,,,,RGC,ad,TK,0,Rc,,0,,,,,,,,evp,AA,106,34,FR,,TO,See remarks; Hapli-Ustic Cambosol,FAO (1988): Aridi-Calcaric Regosol (Siltic),,,,,,,
CN,12,RG,yes,szw,gp,ca,RGC,ny,SA,0,Xh,Z,1,leb,ty,,,,,,eop,AA,88,34,FR,,TO,Haplic cold desert soil; Gypsi-Orthic Aridosol,FAO (1988): Nudiyermi-Calcaric Regosol (Siltic), salic and sodic ì,,,,,,
CN,13,AT,ir,rg,,,ATC,si,,0,Rc,,1,ldd,at,,,,,,evp,AN30,106,34,FR,,TO,See remarks; Earth-cumuli-Orthic Anthrosol,Old local classification: irrigated cultivated oasis soil or grey ì,,,,,,,
CN,14,SC,so,psp,ad,szh,SCN,pt,PH,1,Zo,PH,1,,,,,,,,dos,AQ34,88,34,ME,,AR,Salipanic brown desert soil; Panic Sali-Orthic Aridosol,FAO (1988): Petri-Sodic Solonchak (Siltic), phreatric phase,07/02/04 12:00 AM,OSP,,,,
CN,15,AR,ad,pr,eu,,ARH,or,,0,Re,,1,lcb,ty,,,,,,esp,AA,,34,ME,,TO,Haplic blown sand soil; Aridi-Sandic Primosol,,07/02/04 12:00 AM,OSP,,,,,
CN,16,RG,ye,sk,,,RGC,ye,SK,0,Rc,PE,1,leb,ty,,,,,,eop,AA,36,34,FR,,TO,Haplic skeletisol; Aridi-Orthic Primosol,,07/02/04 12:00 AM,OSP,,,,,
CN,17,AC,vt,pf,dyh,cr,FRH,ak,,0,Af,,1,hcc,ty,,,,,,udb,AA,114,28,IH,,UD,Haplic latosol; Hapli-Udic Ferralosol,FAO (1988): Acri-Haplic Ferralsol (Vetic and Alumnic). Soil is ì,,,,,,,
CN,18,FR,gr,po,ro,,FRG,rh,,0,Fa,,1,eeb,ai,,,,,,ook,AA,134,28,IH,,UD,Haplic latosol; Rhodi-Udic Ferralosol,,07/02/04 12:00 AM,OSP,,,,,
CN,19,AC,hu,vt,pf,dyh,ACH,vt,,0,Af,,1,hcc,ty,,,,,,udb,AA,114,28,IH,,UD,Argillic latored soil; Xanthi-Udic Ferralosol,FAO (1988): Veti-Haplic Acrisol (Pachic and Xanthic). Silt/clay ì,,,,,,,
CN,20,FR,ac,au,dyh,,CMO,vt,,0,Fo,,1,eee,ty,,,,,,ooa,AA,126,28,IH,,US,Haplic latored soil; Hapli-Udic Ferralosol,FAO (1988): Veti-Ferralic Cambisol (Chromic). Silt/clay ratio is ì,,,,,,,
