Wavelength	scorpipo.mn	std-	std+	scorpipo.st
625	0.168854311	1.62E-01	1.76E-01	7.09E-03
626	0.169653952	1.63E-01	1.77E-01	7.09E-03
627	0.170486286	1.63E-01	1.78E-01	7.10E-03
628	0.171383843	1.64E-01	1.78E-01	7.11E-03
629	0.172249779	1.65E-01	1.79E-01	7.12E-03
630	0.173073411	1.66E-01	1.80E-01	7.13E-03
631	0.173950136	1.67E-01	1.81E-01	7.15E-03
632	0.174742103	1.68E-01	1.82E-01	7.18E-03
633	0.175503567	1.68E-01	1.83E-01	7.20E-03
634	0.176244795	1.69E-01	1.83E-01	7.23E-03
635	0.177084923	1.70E-01	1.84E-01	7.25E-03
636	0.177922443	1.71E-01	1.85E-01	7.27E-03
637	0.17874819	1.71E-01	1.86E-01	7.30E-03
638	0.179514945	1.72E-01	1.87E-01	7.30E-03
639	0.180280909	1.73E-01	1.88E-01	7.33E-03
640	0.181042001	1.74E-01	1.88E-01	7.37E-03
641	0.181705996	1.74E-01	1.89E-01	7.41E-03
642	0.182461426	1.75E-01	1.90E-01	7.45E-03
643	0.183209792	1.76E-01	1.91E-01	7.48E-03
644	0.183935955	1.76E-01	1.91E-01	7.52E-03
645	0.18462871	1.77E-01	1.92E-01	7.58E-03
646	0.185299978	1.78E-01	1.93E-01	7.64E-03
647	0.185960576	1.78E-01	1.94E-01	7.71E-03
648	0.186660424	1.79E-01	1.94E-01	7.80E-03
649	0.18741098	1.80E-01	1.95E-01	7.91E-03
650	0.188185856	1.80E-01	1.96E-01	8.01E-03
651	0.188976914	1.81E-01	1.97E-01	8.09E-03
652	0.189650685	1.81E-01	1.98E-01	8.15E-03
653	0.1903276	1.82E-01	1.99E-01	8.19E-03
654	0.191026002	1.83E-01	1.99E-01	8.19E-03
655	0.191765264	1.83E-01	2.00E-01	8.32E-03
656	0.192543268	1.84E-01	2.01E-01	8.49E-03
657	0.193297535	1.85E-01	2.02E-01	8.67E-03
658	0.194138885	1.85E-01	2.03E-01	8.66E-03
659	0.194958791	1.86E-01	2.04E-01	8.67E-03
660	0.195756003	1.87E-01	2.04E-01	8.69E-03
661	0.196511164	1.88E-01	2.05E-01	8.71E-03
662	0.197240278	1.89E-01	2.06E-01	8.73E-03
663	0.197997287	1.89E-01	2.07E-01	8.76E-03
664	0.198768288	1.90E-01	2.08E-01	8.80E-03
665	0.199549988	1.91E-01	2.08E-01	8.83E-03
666	0.200329617	1.91E-01	2.09E-01	8.87E-03
667	0.20109044	1.92E-01	2.10E-01	8.91E-03
668	0.201904625	1.93E-01	2.11E-01	8.94E-03
669	0.20267269	1.94E-01	2.12E-01	8.96E-03
670	0.20342581	1.94E-01	2.12E-01	9.00E-03
671	0.2042083	1.95E-01	2.13E-01	9.04E-03
672	0.205012172	1.96E-01	2.14E-01	9.09E-03
673	0.205837041	1.97E-01	2.15E-01	9.13E-03
674	0.206693441	1.98E-01	2.16E-01	9.16E-03
675	0.207546949	1.98E-01	2.17E-01	9.21E-03
676	0.208370492	1.99E-01	2.18E-01	9.25E-03
677	0.209209219	2.00E-01	2.19E-01	0.009294793
678	0.210090831	2.01E-01	2.19E-01	9.33E-03
679	0.210956156	2.02E-01	2.20E-01	9.38E-03
680	0.211824432	2.02E-01	2.21E-01	9.42E-03
681	0.212720886	2.03E-01	2.22E-01	9.46E-03
682	0.213608459	2.04E-01	2.23E-01	9.50E-03
683	0.214498684	2.05E-01	2.24E-01	9.51E-03
684	0.215447634	2.06E-01	2.25E-01	9.50E-03
685	0.216361851	2.07E-01	2.26E-01	9.46E-03
686	0.217346564	2.08E-01	2.27E-01	9.54E-03
687	0.218389928	2.09E-01	2.28E-01	9.75E-03
688	0.21949707	2.10E-01	2.29E-01	9.86E-03
689	0.220590755	2.11E-01	2.31E-01	9.93E-03
690	0.221634537	2.12E-01	2.32E-01	9.96E-03
691	0.222546637	2.13E-01	2.33E-01	9.98E-03
692	0.223486766	2.13E-01	2.34E-01	1.00E-02
693	0.224525049	2.14E-01	2.35E-01	1.01E-02
694	0.225734562	2.16E-01	2.36E-01	1.02E-02
695	0.227053598	2.17E-01	2.37E-01	1.03E-02
696	0.228299528	2.18E-01	2.39E-01	1.03E-02
697	0.229468197	2.19E-01	2.40E-01	1.03E-02
698	0.23057957	2.20E-01	2.41E-01	1.04E-02
699	0.231723234	2.21E-01	2.42E-01	1.04E-02
700	0.232937977	2.22E-01	2.43E-01	1.05E-02
701	0.234256715	2.24E-01	2.45E-01	1.06E-02
702	0.235548377	2.25E-01	2.46E-01	1.07E-02
703	0.236804962	2.26E-01	2.48E-01	1.08E-02
704	0.238008037	2.27E-01	2.49E-01	1.09E-02
