Wavelength	cheat.mn	std-	std+	cheat.st
618	0.119884074	1.02E-01	1.38E-01	1.83E-02
619	0.120393246	1.02E-01	1.39E-01	1.84E-02
620	0.120893419	1.02E-01	1.39E-01	1.84E-02
621	0.121440247	1.03E-01	1.40E-01	1.84E-02
622	0.121957347	1.04E-01	1.40E-01	1.84E-02
623	0.122474581	1.04E-01	1.41E-01	1.85E-02
624	0.122992456	1.04E-01	1.41E-01	1.85E-02
625	0.123508513	1.05E-01	1.42E-01	1.85E-02
626	0.124050245	1.05E-01	1.43E-01	1.86E-02
627	0.124611422	1.06E-01	1.43E-01	1.86E-02
628	0.12519218	1.07E-01	1.44E-01	1.87E-02
629	0.125672698	1.07E-01	1.44E-01	1.87E-02
630	0.126118317	1.07E-01	1.45E-01	0.018759748
631	0.126662582	1.08E-01	1.45E-01	1.88E-02
632	0.12714614	1.08E-01	1.46E-01	1.88E-02
633	0.127626613	1.09E-01	1.47E-01	1.89E-02
634	0.12811622	1.09E-01	1.47E-01	1.89E-02
635	0.128667071	1.10E-01	1.48E-01	1.90E-02
636	0.129221275	1.10E-01	1.48E-01	1.90E-02
637	0.129775628	1.11E-01	1.49E-01	1.91E-02
638	0.130317912	1.11E-01	1.49E-01	1.91E-02
639	0.130834147	1.12E-01	1.50E-01	1.92E-02
640	0.131359607	1.12E-01	1.51E-01	1.93E-02
641	0.131877065	1.12E-01	1.51E-01	1.94E-02
642	0.132431403	1.13E-01	1.52E-01	1.95E-02
643	0.132980332	1.13E-01	1.53E-01	1.95E-02
644	0.133520365	1.14E-01	1.53E-01	1.96E-02
645	0.134050578	1.14E-01	1.54E-01	1.97E-02
646	0.134555072	1.15E-01	1.54E-01	1.97E-02
647	0.135048911	1.15E-01	1.55E-01	1.98E-02
648	0.13561523	1.16E-01	1.56E-01	2.00E-02
649	0.136231035	1.16E-01	1.56E-01	2.01E-02
650	0.136840805	1.17E-01	1.57E-01	2.02E-02
651	0.137376681	1.17E-01	1.58E-01	2.03E-02
652	0.137956142	1.18E-01	1.58E-01	2.04E-02
653	0.138543755	1.18E-01	1.59E-01	0.020499088
654	0.139114231	1.19E-01	1.60E-01	2.05E-02
655	0.139686778	1.19E-01	1.60E-01	2.07E-02
656	0.140268177	1.19E-01	1.61E-01	2.09E-02
657	0.140819862	1.20E-01	1.62E-01	0.021060599
658	0.141456395	1.20E-01	1.63E-01	0.02113907
659	0.142058119	1.21E-01	1.63E-01	2.12E-02
660	0.142647535	1.21E-01	1.64E-01	2.12E-02
661	0.143251851	1.22E-01	1.65E-01	2.13E-02
662	0.143823892	1.22E-01	1.65E-01	0.021384384
663	0.144397631	1.23E-01	1.66E-01	2.15E-02
664	0.144955754	1.23E-01	1.66E-01	2.15E-02
665	0.145522103	1.24E-01	1.67E-01	2.16E-02
666	0.146089017	1.24E-01	1.68E-01	2.17E-02
667	0.146641403	1.25E-01	1.68E-01	2.17E-02
668	0.147198632	1.25E-01	1.69E-01	2.18E-02
669	0.147736639	1.26E-01	1.70E-01	2.19E-02
670	0.148275524	1.26E-01	1.70E-01	2.20E-02
671	0.148850337	1.27E-01	1.71E-01	2.20E-02
672	0.149416313	1.27E-01	1.72E-01	2.21E-02
673	0.149983019	1.28E-01	1.72E-01	2.22E-02
674	0.150557503	1.28E-01	1.73E-01	2.23E-02
675	0.151132792	1.29E-01	1.73E-01	2.23E-02
676	0.15168713	1.29E-01	1.74E-01	2.24E-02
677	0.152252674	1.30E-01	1.75E-01	0.02247126
678	0.152838871	1.30E-01	1.75E-01	2.25E-02
679	0.153399199	1.31E-01	1.76E-01	2.26E-02
680	0.153951436	1.31E-01	1.77E-01	2.27E-02
681	0.154516324	1.32E-01	1.77E-01	2.28E-02
682	0.155094311	1.32E-01	1.78E-01	2.28E-02
683	0.15567258	1.33E-01	1.79E-01	2.29E-02
684	0.156277716	1.33E-01	1.79E-01	0.022923082
685	0.156856775	1.34E-01	1.80E-01	2.29E-02
686	0.157443643	1.34E-01	1.80E-01	2.30E-02
687	0.158027053	1.35E-01	1.81E-01	2.32E-02
688	0.158682108	1.35E-01	1.82E-01	2.34E-02
689	0.159345627	1.36E-01	1.83E-01	0.023474084
690	0.160017788	1.36E-01	1.84E-01	2.35E-02
691	0.160753578	1.37E-01	1.84E-01	2.36E-02
692	0.161442056	1.38E-01	1.85E-01	2.37E-02
693	0.162113905	1.38E-01	1.86E-01	2.37E-02
694	0.16277504	1.39E-01	1.87E-01	2.39E-02
695	0.163548723	1.40E-01	1.88E-01	2.40E-02
696	0.16430147	1.40E-01	1.88E-01	2.41E-02
697	0.165026188	1.41E-01	1.89E-01	2.41E-02
698	0.165709257	1.41E-01	1.90E-01	2.42E-02
699	0.166397735	1.42E-01	1.91E-01	2.43E-02
700	0.167112559	1.43E-01	1.92E-01	2.45E-02
701	0.167836025	1.43E-01	1.92E-01	2.46E-02
702	0.168608874	1.44E-01	1.93E-01	0.024733841
703	0.169361249	1.45E-01	1.94E-01	2.49E-02
704	0.170024365	1.45E-01	1.95E-01	2.50E-02
705	0.170733213	1.46E-01	1.96E-01	2.51E-02
706	0.171440631	1.46E-01	1.97E-01	2.52E-02
707	0.17214106	1.47E-01	1.97E-01	2.53E-02
708	0.172835499	1.47E-01	1.98E-01	2.54E-02
709	0.173569024	1.48E-01	1.99E-01	2.55E-02
710	0.174322039	1.49E-01	2.00E-01	2.57E-02
711	0.17502673	1.49E-01	2.01E-01	2.58E-02
712	0.175689518	1.50E-01	2.02E-01	2.59E-02
713	0.176349506	1.50E-01	2.02E-01	2.60E-02
714	0.177052662	1.51E-01	2.03E-01	0.026060427
715	0.177596629	1.52E-01	2.04E-01	2.61E-02
716	0.178164259	1.52E-01	2.04E-01	2.61E-02
717	0.178807005	1.53E-01	2.05E-01	2.62E-02
718	0.179470226	1.53E-01	2.06E-01	0.026439656
719	0.180227309	1.54E-01	2.07E-01	2.67E-02
720	0.180988848	1.54E-01	2.08E-01	2.69E-02
721	0.181713969	1.55E-01	2.09E-01	0.026949305
722	0.182339847	1.55E-01	2.09E-01	2.70E-02
723	0.182988256	1.56E-01	2.10E-01	0.027060829
724	0.183642328	1.56E-01	2.11E-01	2.72E-02
725	0.184282988	1.57E-01	2.12E-01	2.74E-02
726	0.184941888	1.57E-01	2.12E-01	2.75E-02
727	0.185608923	1.58E-01	2.13E-01	2.76E-02
728	0.186236501	1.58E-01	2.14E-01	2.78E-02
729	0.186896667	1.59E-01	2.15E-01	2.79E-02
730	0.187557697	1.60E-01	2.16E-01	2.81E-02
731	0.188251838	1.60E-01	2.16E-01	2.82E-02
732	0.188953653	1.61E-01	2.17E-01	2.83E-02
733	0.189634323	1.61E-01	2.18E-01	2.84E-02
734	0.190274805	1.62E-01	2.19E-01	0.028539065
735	0.190898001	1.62E-01	2.20E-01	2.87E-02
736	0.191534951	1.63E-01	2.20E-01	2.88E-02
737	0.192160785	1.63E-01	2.21E-01	2.88E-02
738	0.192739084	1.64E-01	2.22E-01	2.90E-02
739	0.1933541	1.64E-01	2.22E-01	2.91E-02
740	0.193955526	1.65E-01	2.23E-01	2.92E-02
741	0.194492593	1.65E-01	2.24E-01	2.93E-02
742	0.195044875	1.66E-01	2.24E-01	2.94E-02
743	0.195609316	1.66E-01	2.25E-01	2.95E-02
744	0.196196839	1.67E-01	2.26E-01	2.96E-02
745	0.196689293	1.67E-01	2.26E-01	2.96E-02
746	0.19722642	1.67E-01	2.27E-01	2.97E-02
747	0.197840825	1.68E-01	2.28E-01	2.98E-02
748	0.198349506	1.68E-01	2.28E-01	2.99E-02
749	0.198883057	1.69E-01	2.29E-01	3.00E-02
750	0.199436545	1.69E-01	2.30E-01	3.01E-02
751	0.199890375	1.70E-01	2.30E-01	3.02E-02
752	0.200410455	1.70E-01	2.31E-01	3.02E-02
753	0.200949863	1.71E-01	2.31E-01	3.03E-02
754	0.201426372	1.71E-01	2.32E-01	0.030392675
755	0.201907501	1.71E-01	2.32E-01	3.05E-02
756	0.202398121	1.72E-01	2.33E-01	3.05E-02
757	0.202938333	1.72E-01	2.33E-01	3.05E-02
758	0.203180864	1.73E-01	2.33E-01	3.01E-02
759	0.203509152	1.73E-01	2.34E-01	3.01E-02
760	0.20395413	1.73E-01	2.35E-01	3.06E-02
761	0.204364315	1.74E-01	2.35E-01	0.030712467
762	0.204776451	1.74E-01	2.36E-01	3.08E-02
763	0.205266997	1.74E-01	2.36E-01	3.10E-02
764	0.205900401	1.75E-01	2.37E-01	3.11E-02
765	0.206511676	1.75E-01	2.38E-01	3.12E-02
766	0.207067892	1.76E-01	2.38E-01	3.13E-02
767	0.207611099	1.76E-01	2.39E-01	3.13E-02
768	0.208101436	1.77E-01	2.39E-01	3.14E-02
769	0.208594069	1.77E-01	2.40E-01	3.14E-02
770	0.209102273	1.78E-01	2.41E-01	3.15E-02
771	0.209600553	1.78E-01	2.41E-01	3.15E-02
772	0.210108891	1.78E-01	2.42E-01	3.16E-02
773	0.210585326	1.79E-01	2.42E-01	3.17E-02
774	0.211040244	1.79E-01	2.43E-01	3.17E-02
775	0.211484239	1.80E-01	2.43E-01	3.18E-02
776	0.211916938	1.80E-01	2.44E-01	3.19E-02
777	0.212336585	1.80E-01	2.44E-01	3.19E-02
