Wavelength	Mean	Std +	Std -
930	0.193457931	0.227586424	0.159329438
931	0.193381793	0.227352369	0.159411217
932	0.193126103	0.226885175	0.159367032
933	0.192618793	0.22614969	0.159087896
934	0.192399448	0.225773854	0.159025043
935	0.192522897	0.225680698	0.159365095
936	0.193067379	0.225952051	0.160182708
937	0.193424862	0.226472575	0.160377149
938	0.193648379	0.226912579	0.16038418
939	0.193878517	0.227336478	0.160420556
940	0.194582345	0.228006161	0.161158528
941	0.194878034	0.228505533	0.161250536
942	0.194914793	0.228723652	0.161105935
943	0.194743759	0.228518888	0.16096863
944	0.195073621	0.228703459	0.161443782
945	0.195460034	0.229000729	0.16191934
946	0.195795276	0.229334732	0.162255819
947	0.195742276	0.229248935	0.162235617
948	0.195899586	0.229440486	0.162358686
949	0.196216069	0.229801856	0.162630282
950	0.196555103	0.229967339	0.163142868
951	0.196959793	0.23042343	0.163496157
952	0.197313793	0.230871927	0.163755659
953	0.197410655	0.230944962	0.163876348
954	0.197540759	0.231152896	0.163928622
955	0.197720793	0.231318845	0.164122741
956	0.19800669	0.231453867	0.164559512
957	0.198373759	0.231773921	0.164973596
958	0.198538172	0.232018441	0.165057904
959	0.198693034	0.232325943	0.165060126
960	0.199692621	0.233304237	0.166081004
961	0.200206172	0.233761432	0.166650913
962	0.200362276	0.233907742	0.16681681
963	0.200139724	0.2338457	0.166433749
964	0.200399	0.234117703	0.166680297
965	0.200732414	0.234424261	0.167040566
966	0.201017621	0.23466194	0.167373302
967	0.201725	0.235451744	0.167998256
968	0.202181483	0.235951646	0.168411319
969	0.20239869	0.236203033	0.168594346
970	0.202508552	0.236531555	0.168485548
971	0.202725621	0.23681175	0.168639492
972	0.203010586	0.237107706	0.168913466
973	0.203264759	0.237410198	0.169119319
974	0.203332966	0.237487289	0.169178642
975	0.203466448	0.237552499	0.169380397
976	0.20377269	0.237681178	0.169864202
977	0.204062621	0.238003582	0.170121659
978	0.204430517	0.238340188	0.170520846
979	0.204894034	0.238741428	0.171046641
980	0.204818	0.238802338	0.170833662
981	0.205028345	0.239011334	0.171045356
982	0.20542531	0.239347553	0.171503067
983	0.205940414	0.239828276	0.172052552
984	0.205913966	0.239853354	0.171974577
985	0.206014172	0.240010736	0.172017609
986	0.206499207	0.240522547	0.172475867
987	0.206831276	0.240856908	0.172805643
988	0.207170483	0.241192021	0.173148945
989	0.207518379	0.241543529	0.17349323
990	0.207516414	0.241646188	0.17338664
991	0.207618103	0.241742749	0.173493458
992	0.207767034	0.241837786	0.173696283
993	0.207941	0.242002857	0.173879143
994	0.208093483	0.242268904	0.173918061
995	0.208257414	0.24253088	0.173983948
996	0.208330103	0.242586239	0.174073968
997	0.208939138	0.243095596	0.17478268
998	0.209348828	0.243473425	0.175224231
999	0.209525448	0.243692918	0.175357979
1000	0.209588759	0.243698807	0.17547871
1001	0.213960586	0.250477201	0.177443972
1002	0.214340517	0.250907702	0.177773332
1003	0.214573241	0.251168007	0.177978476
1004	0.214778103	0.251365594	0.178190613
1005	0.215020414	0.251603564	0.178437264
1006	0.215246069	0.251815531	0.178676607
1007	0.215468103	0.252019875	0.178916332
1008	0.215699724	0.252253079	0.179146369
1009	0.215952138	0.252512919	0.179391357
1010	0.216219655	0.252763354	0.179675957
1011	0.216458862	0.252957218	0.179960506
1012	0.216689759	0.253159315	0.180220202
1013	0.216932069	0.2534149	0.180449238
1014	0.217184931	0.253689952	0.18067991
1015	0.217403138	0.253876123	0.180930153
1016	0.217576	0.254004565	0.181147435
1017	0.217831103	0.25427402	0.181388187
